Time (hr:min:sec),Time (s),Serial data,Resistance
9:17:38,2858,298,75700.93458
9:17:39,2859,291,72669.68326
9:17:40,2860,292,73090.90909
9:17:41,2861,317,85025.64103
9:17:42,2862,298,75700.93458
9:17:43,2863,302,77523.80952
9:17:44,2864,297,75255.81395
9:17:45,2865,299,76150.23474
9:17:46,2866,298,75700.93458
9:17:47,2867,299,76150.23474
9:17:48,2868,298,75700.93458
9:17:49,2869,299,76150.23474
9:17:50,2870,299,76150.23474
9:17:51,2871,299,76150.23474
9:17:52,2872,299,76150.23474
9:17:53,2873,299,76150.23474
9:17:54,2874,299,76150.23474
9:17:55,2875,298,75700.93458
9:17:56,2876,299,76150.23474
9:17:57,2877,299,76150.23474
9:17:58,2878,298,75700.93458
9:17:59,2879,300,76603.77358
9:18:00,2880,300,76603.77358
9:18:01,2881,300,76603.77358
9:18:02,2882,300,76603.77358
9:18:03,2883,299,76150.23474
9:18:04,2884,299,76150.23474
9:18:05,2885,299,76150.23474
9:18:06,2886,299,76150.23474
9:18:07,2887,299,76150.23474
9:18:08,2888,298,75700.93458
9:18:09,2889,298,75700.93458
9:18:10,2890,299,76150.23474
9:18:11,2891,299,76150.23474
9:18:12,2892,299,76150.23474
9:18:13,2893,299,76150.23474
9:18:14,2894,299,76150.23474
9:18:15,2895,298,75700.93458
9:18:16,2896,299,76150.23474
9:18:17,2897,300,76603.77358
9:18:18,2898,299,76150.23474
9:18:19,2899,300,76603.77358
9:18:20,2900,299,76150.23474
9:18:21,2901,300,76603.77358
9:18:22,2902,300,76603.77358
9:18:23,2903,300,76603.77358
9:18:24,2904,301,77061.61137
9:18:25,2905,301,77061.61137
9:18:26,2906,300,76603.77358
9:18:27,2907,300,76603.77358
9:18:28,2908,300,76603.77358
9:18:29,2909,300,76603.77358
9:18:30,2910,300,76603.77358
9:18:31,2911,301,77061.61137
9:18:32,2912,301,77061.61137
9:18:33,2913,300,76603.77358
9:18:34,2914,300,76603.77358
9:18:35,2915,300,76603.77358
9:18:36,2916,299,76150.23474
9:18:37,2917,300,76603.77358
9:18:38,2918,299,76150.23474
9:18:39,2919,301,77061.61137
9:18:40,2920,299,76150.23474
9:18:41,2921,299,76150.23474
9:18:42,2922,300,76603.77358
9:18:43,2923,299,76150.23474
9:18:44,2924,300,76603.77358
9:18:45,2925,303,77990.43062
9:18:46,2926,302,77523.80952
9:18:47,2927,304,78461.53846
9:18:48,2928,307,79902.43902
9:18:49,2929,309,80886.69951
9:18:50,2930,311,81890.54726
9:18:51,2931,304,78461.53846
9:18:52,2932,309,80886.69951
9:18:53,2933,304,78461.53846
9:18:54,2934,304,78461.53846
9:18:55,2935,302,77523.80952
9:18:56,2936,307,79902.43902
